,pid,task,starttime,endtime,original_response_Dutch,original_response,original_response_cleaned,response,response_corrected,invalid,creative,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,SS,SS_ref,clusters_hier,jump_hier,jump_SS,jump,order_in_cluster,uniqueness
0,2657,3,1612270389941,1612270398628,papier mee vastbinden,tie up paper,tie paper,tie paper,,0.0,0.0,1.0,9,2,chain,chain,1,0.7900627851486210,0.85062814,23,1,1,1,1,230.33333333333300
1,2657,3,1612270398628,1612270410366,jurk mee maken,make a dress,make dress,make dress,,0.0,0.0,1.0,10,2,tie up paper,tie paper,2,0.7958049774169920,0.7513169,22,1,1,1,1,345.5
2,2657,3,1612270410366,1612270425244,de persoon achter een metaaldetector p,the person behind a metal detector p,person behind metal detector p,person behind metal detector p,Metal detector,0.0,0.0,1.0,30,5,make a dress,make dress,3,0.7133407592773440,0.7593098,4,1,1,1,1,188.45454545454500
3,2657,3,1612270425244,1612270441721,pesten,bullying,bullying,bullying,,0.0,0.0,1.0,8,1,the person behind a metal detector p,person behind metal detector p,4,0.7379623651504520,0.7503483,1,1,1,1,1,138.2
4,2657,3,1612270441721,1612270451820,sloten mee openen,open locks,open locks,open locks,,0.0,0.0,1.0,10,2,bullying,bullying,5,0.7268601059913640,0.76127386,11,1,1,1,1,54.55263157894740
5,2657,3,1612270451820,1612270464281,oorbel,earring,earring,earring,,0.0,0.0,1.0,7,1,open locks,open locks,6,0.7757179737091060,0.7542356,19,1,1,1,1,115.16666666666700
6,2657,3,1612270464281,1612270498736,kunst,art,art,art,,0.0,0.0,1.0,3,1,earring,earring,7,0.7837135791778560,0.80266374,3,1,1,1,1,121.94117647058800
7,2657,3,1612270498736,1612270532028,omvormen en dan gebruiken als bakfiguurtjes,shape and then use as baking figures,shape baking figures,shape baking figures,Shape baking mould,0.0,0.0,1.0,20,3,art,art,8,0.7844761610031130,0.74926275,7,1,1,1,1,230.33333333333300
8,2657,3,1612270532028,1612270546671,omvormen en gebruiken als stempel,convert and use as a stamp,convert stamp,convert stamp,Stamp,0.0,0.0,1.0,13,2,shape and then use as baking figures,shape baking figures,9,0.7649075984954830,0.7627994,4,1,1,1,1,172.75
9,2657,3,1612270546671,1612270555874,omvormen tot tiara,transform into a tiara,transform tiara,transform tiara,tiara,0.0,0.0,1.0,15,2,convert and use as a stamp,convert stamp,10,0.7759882807731630,0.7475938,4,0,1,0,2,188.45454545454500
