,task,model,temp,rep,cleaned_responses
0,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,building material
1,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,paperweight
2,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,paper toy
3,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,oven
4,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,barbecue
5,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,doorstop
6,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,bullet
7,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,currency
8,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,musical instrument
9,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,game piece
10,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,sculpture
11,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,wall art
12,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,fireplace
13,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,skate ramp
14,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,phone booth
15,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,fort
16,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,paperweight
17,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,paperweight
18,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,paperweight
19,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,building material
20,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,paperweight
21,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,paper toy
22,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,oven
23,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,barbecue
24,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,doorstop
25,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,bullet
26,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,currency
27,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,musical instrument
28,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,game piece
29,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,sculpture
30,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,wall art
31,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,fireplace
32,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,skate ramp
33,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,phone booth
34,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,fort
35,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,paperweight
36,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,paperweight
37,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,paperweight
38,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,building material
39,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,paperweight
40,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,paper toy
41,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,oven
42,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,barbecue
43,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,doorstop
44,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,bullet
45,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,currency
46,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,musical instrument
47,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,game piece
48,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,sculpture
49,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,wall art
50,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,fireplace
51,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,skate ramp
52,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,phone booth
53,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,fort
54,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,paperweight
55,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,paperweight
56,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,paperweight
57,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,building material
58,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,paperweight
59,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,paper toy
60,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,oven
61,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,barbecue
62,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,doorstop
63,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,bullet
64,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,currency
65,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,musical instrument
66,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,game piece
67,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,sculpture
68,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,wall art
69,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,fireplace
70,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,skate ramp
71,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,phone booth
72,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,fort
73,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,paperweight
74,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,paperweight
75,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,paperweight
76,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,building material
77,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,paperweight
78,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,paper toy
79,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,oven
80,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,barbecue
81,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,doorstop
82,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,bullet
83,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,currency
84,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,musical instrument
85,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,game piece
86,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,sculpture
87,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,wall art
88,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,fireplace
89,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,skate ramp
90,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,phone booth
91,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,fort
92,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,paperweight
93,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,paperweight
94,brick,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,paperweight
95,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,building material
96,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,paperweight
97,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,paper holder
98,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,oven
99,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,barbecue
100,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,paperweight
101,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,doorstop
102,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,bulletin board
103,brick,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,chalkboard
