timestamp,task,model,temp,response,num_responses
20240417181111,animals,mistralai/Mistral-7B-Instruct-v0.2,0,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, panda, gorilla, orangutan, monkey, chimpanzee, baboon, tarsier, sloth, koala, kangaroo rat, platypus, armadillo, rhinoceros beetle, antelope, hippopotamus, crocodile, snake, lizard",30
20240417181114,animals,mistralai/Mistral-7B-Instruct-v0.2,0,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, panda, gorilla, orangutan, monkey, chimpanzee, baboon, tarsier, sloth, koala, kangaroo rat, platypus, armadillo, rhinoceros beetle, antelope, hippopotamus, crocodile, snake, lizard",30
20240417181116,animals,mistralai/Mistral-7B-Instruct-v0.2,0,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, panda, gorilla, orangutan, monkey, chimpanzee, baboon, tarsier, sloth, koala, kangaroo rat, platypus, armadillo, rhinoceros beetle, antelope, hippopotamus, crocodile, snake, lizard",30
20240417181118,animals,mistralai/Mistral-7B-Instruct-v0.2,0,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, panda, gorilla, orangutan, monkey, chimpanzee, baboon, tarsier, sloth, koala, kangaroo rat, platypus, armadillo, rhinoceros beetle, antelope, hippopotamus, crocodile, snake, lizard",30
20240417181120,animals,mistralai/Mistral-7B-Instruct-v0.2,0,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, panda, gorilla, orangutan, monkey, chimpanzee, baboon, tarsier, sloth, koala, kangaroo rat, platypus, armadillo, rhinoceros beetle, antelope, hippopotamus, crocodile, snake, lizard",30
20240417181123,animals,mistralai/Mistral-7B-Instruct-v0.2,0.1,"lion, tiger, elephant, giraffe, zebra, hippopotamus, rhinoceros, leopard, gorilla, kangaroo, cheetah, panda, polar bear, brown bear, tiger shark, great white shark, crocodile, alligator, snake, lizard, camel, ostrich, kangaroo rat, platypus, sloth, hippopotamus, rhinoceros, giraffe",30
20240417181125,animals,mistralai/Mistral-7B-Instruct-v0.2,0.1,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, hyena, crocodile, gorilla, orangutan, baboon, monkey, tarsier, sloth, armadillo, kangaroo rat, platypus, emu, ostrich, rhea, panda, sloth bear, sun bear",30
20240417181127,animals,mistralai/Mistral-7B-Instruct-v0.2,0.1,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, panda, gorilla, orangutan, chimpanzee, baboon, monkey, tarsier, sloth, koala, kangaroo rat, platypus, armadillo, rhinoceros beetle, antelope, hippopotamus, ostrich, emu, camel, rhinoceros, buffalo",30
20240417181129,animals,mistralai/Mistral-7B-Instruct-v0.2,0.1,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, panda, gorilla, orangutan, monkey, chimpanzee, baboon, tiger shark, great white shark, polar bear, walrus, hippopotamus, rhinoceros, gorilla, orangutan, monkey, chimpanzee, baboon",30
20240417181131,animals,mistralai/Mistral-7B-Instruct-v0.2,0.1,"lion, tiger, elephant, giraffe, zebra, hippopotamus, rhinoceros, leopard, gorilla, kangaroo, cheetah, panda, polar bear, brown bear, tiger shark, great white shark, crocodile, alligator, snake, lizard, camel, ostrich, kangaroo rat, platypus, sloth, hippopotamus, rhinoceros",30
20240417181133,animals,mistralai/Mistral-7B-Instruct-v0.2,0.2,"elephant, giraffe, zebra, rhinoceros, hippopotamus, kangaroo, tiger, lion, leopard, cheetah, hyena, crocodile, gorilla, orangutan, monkey, panda, tiger shark, great white shark, polar bear, brown bear, wolf, moose, elk, bison, wildebeest, rhinoceros beetle, antelope",30
