"user_id","created_timestamp","role","username","password","name","email","gender","dob","informed-consent","lottery","studentnr","credit","participantnr","study","edu_level","edu_year","originality","utility","innovative","appropriate"
"2656","2021-02-02 13:35:54","participant","446278",NULL,NULL,NULL,NULL,"2005-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2657","2021-02-02 13:40:16","participant","446279",NULL,NULL,NULL,NULL,"2002-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2658","2021-02-02 14:17:35","participant","446288",NULL,NULL,NULL,NULL,"1995-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2659","2021-02-02 14:49:10","participant","446292",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2660","2021-02-02 14:57:49","participant","446294",NULL,NULL,NULL,NULL,"2003-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2661","2021-02-02 15:06:39","participant","446297",NULL,NULL,NULL,NULL,"2001-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2662","2021-02-02 15:15:44","participant","446300",NULL,NULL,NULL,NULL,"1995-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2663","2021-02-02 15:37:50","participant","446307",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2664","2021-02-02 16:01:12","participant","446309",NULL,NULL,NULL,NULL,"2002-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2665","2021-02-02 16:19:32","participant","446311",NULL,NULL,NULL,NULL,"2005-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2666","2021-02-02 16:35:59","participant","6019715f51d0f1.36628268",NULL,NULL,NULL,NULL,"2005-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2667","2021-02-02 16:37:33","participant","446312",NULL,NULL,NULL,NULL,"2000-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2668","2021-02-02 16:40:46","participant","446313",NULL,NULL,NULL,NULL,"2005-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2669","2021-02-02 16:46:31","participant","446315",NULL,NULL,NULL,NULL,"2005-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2670","2021-02-02 16:49:02","participant","446316",NULL,NULL,NULL,NULL,"2005-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2671","2021-02-02 17:00:32","participant","446317",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2672","2021-02-02 17:20:52","participant","446322",NULL,NULL,NULL,NULL,"2001-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2673","2021-02-02 17:49:03","participant","446326",NULL,NULL,NULL,NULL,"2002-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2674","2021-02-02 18:45:13","participant","446330",NULL,NULL,NULL,NULL,"2000-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2675","2021-02-02 18:59:28","participant","446333",NULL,NULL,NULL,NULL,"1999-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2676","2021-02-02 19:07:31","participant","446334",NULL,NULL,NULL,NULL,"2001-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2677","2021-02-02 19:50:01","participant","446339",NULL,NULL,NULL,NULL,"2001-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2678","2021-02-02 20:39:01","participant","446346",NULL,NULL,NULL,NULL,"1982-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2679","2021-02-02 21:24:35","participant","446358",NULL,NULL,NULL,NULL,"2001-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2680","2021-02-02 21:26:11","participant","446359",NULL,NULL,NULL,NULL,"2001-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
